ROL,ANO,fecha_eliminacion,motivo
1495,2025,2026-04-29,REAUDIT: Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 63; 2026-04-07)
1717,2025,2026-04-29,REAUDIT: Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 12; 2026-02-27)
5280,2025,2026-05-21,REAUDIT: Reprogramado: 'Nuevo día y hora' (folio 40; 2026-04-28)
2481,2022,2026-05-23,Sin postores: 'Certificado de no postores' (folio 81; 2026-04-30)
1061,2025,2026-05-23,Reprogramado: 'Nuevo día y hora' (folio 26; 2026-05-04)
3180,2023,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 96; 2026-04-27)
1477,2024,2026-05-23,Suspension/Reprograma: 'Suspende el apremio' (folio 81; 2026-04-29)
1557,2024,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 104; 2026-04-27)
192,2025,2026-05-23,Sin postores: 'Certificado de no postores' (folio 40; 2026-04-28)
615,2019,2026-05-23,Reprogramado: 'Nuevo día y hora' (folio 158; 2026-05-13)
3577,2025,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 22; 2026-04-30)
663,2024,2026-05-23,Reprogramado: 'Fija nuevo día y hora remate' (folio 36; 2026-05-05)
2352,2024,2026-05-23,Reprogramado: 'Nuevo día y hora' (folio 35; 2026-05-04)
1132,2025,2026-05-23,Reprogramado: 'Fija nuevo día y hora remate' (folio 77; 2026-05-06)
3121,2025,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 45; 2026-04-30)
1068,2023,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 116; 2026-05-04)
4379,2024,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 84; 2026-05-19)
300,2024,2026-05-23,Sin postores: 'Certificado de no postores' (folio 91; 2026-05-06)
6082,2022,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 205; 2026-04-28)
3253,2024,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 74; 2026-05-05)
8129,2018,2026-05-23,Sin postores: 'Certificado de no postores' (folio 84; 2026-05-04)
1031,2023,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 75; 2026-05-04)
1850,2024,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 17; 2026-05-06)
3936,2025,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 20; 2026-05-06)
3662,2025,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 41; 2026-05-04)
400,2024,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 81; 2026-05-07)
656,2024,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 83; 2026-05-14)
330,2025,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 60; 2026-05-08)
3354,2025,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 35; 2026-05-12)
217,2025,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 46; 2026-05-04)
1779,2025,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 36; 2026-05-04)
3616,2024,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 86; 2026-05-04)
117,2025,2026-05-23,Reprogramado: 'Fija nuevo día y hora remate' (folio 100; 2026-05-15)
3543,2025,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 46; 2026-05-15)
1678,2023,2026-05-23,Reprogramado: 'Nuevo día y hora' (folio 170; 2026-05-11)
865,2025,2026-05-23,Sin postores: 'Certificado de no postores' (folio 44; 2026-05-07)
3676,2020,2026-05-23,Reprogramado: 'Fija nuevo día y hora remate' (folio 103; 2026-05-13)
2218,2024,2026-05-23,Reprogramado: 'Fija nuevo día y hora remate' (folio 132; 2026-05-20)
2831,2024,2026-05-23,Reprogramado: 'Nuevo día y hora' (folio 135; 2026-05-18)
3313,2025,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 19; 2026-04-20)
2390,2025,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 52; 2026-04-23)
2223,2022,2026-05-23,Reprogramado: 'Fija nuevo día y hora remate' (folio 122; 2026-04-22)
3863,2025,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 18; 2026-04-20)
909,2024,2026-05-23,Reprogramado: 'Nuevo día y hora' (folio 85; 2026-04-24)
2652,2024,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 83; 2026-04-21)
3729,2024,2026-05-23,Sin postores: 'Certificado de no postores' (folio 59; 2026-04-21)
3391,2024,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 31; 2026-04-20)
2737,2023,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 63; 2026-04-23)
2673,2025,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 26; 2026-05-11)
113,2023,2026-05-23,Sin postores: 'Certificado de no postores' (folio 120; 2026-04-23)
6,2023,2026-05-23,Sin postores: 'Certificado de no postores' (folio 98; 2026-04-22)
6022,2025,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 48; 2026-04-20)
1663,2023,2026-05-23,Reprogramado: 'Nuevo día y hora' (folio 89; 2026-04-27)
9291,2024,2026-05-23,Reprogramado: 'Nuevo día y hora' (folio 72; 2026-04-21)
4188,2022,2026-05-23,Sin postores: 'Certificado de no postores' (folio 29; 2026-04-22)
2215,2025,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 38; 2026-04-22)
382,2025,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 94; 2026-04-21)
1641,2021,2026-05-23,Sin postores: 'Certificado de no postores' (folio 114; 2026-04-21)
6514,2023,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 169; 2026-05-12)
2074,2023,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 120; 2026-05-08)
6593,2024,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 67; 2026-04-23)
3884,2022,2026-05-23,Reprogramado: 'Nuevo día y hora' (folio 95; 2026-04-23)
601,2021,2026-05-23,Reprogramado: 'Nuevo día y hora' (folio 87; 2026-04-24)
1140,2020,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 38; 2026-05-20)
360,2026,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 22; 2026-05-20)
105,2026,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 18; 2026-05-18)
3703,2025,2026-05-23,Reprogramado: 'Nuevo día y hora' (folio 36; 2026-05-20)
3235,2024,2026-05-23,Sin postores: 'Certificado de no postores' (folio 56; 2026-05-13)
183,2023,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 50; 2026-05-19)
4071,2024,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 47; 2026-05-19)
178,2026,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 31; 2026-05-12)
192,2018,2026-05-23,Sin postores: 'Certificado de no postores' (folio 115; 2026-05-19)
940,2022,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 65; 2026-05-14)
6003,2025,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 24; 2026-05-18)
1073,2024,2026-05-23,Sin postores: 'Certificado de no postores' (folio 40; 2026-05-13)
3362,2023,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 93; 2026-05-20)
1679,2025,2026-05-23,Reprogramado: 'Nuevo día y hora' (folio 25; 2026-05-12)
211,2024,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 51; 2026-05-13)
84,2026,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 19; 2026-05-20)
1459,2023,2026-05-23,Sin postores: 'Certificado de no postores' (folio 49; 2026-05-12)
2266,2025,2026-05-23,Suspension/Reprograma: 'Suspende/Reprograma Remate' (folio 25; 2026-05-13)
8713,2023,2026-05-23,Reprogramado: 'Fija nuevo día y hora remate' (folio 121; 2026-05-22)
507,2025,2026-05-23,Sin postores: 'Certificado de no postores' (folio 51; 2026-05-19)
2832,2025,2026-05-23,Reprogramado: 'Nuevo día y hora' (folio 33; 2026-05-20)
